year,category,laureates,shared_count
1939,Physiology or Medicine,['Gerhard Domagk'],1
1940,Chemistry,,0
1940,Literature,,0
1940,Peace,,0
1940,Physics,,0
1940,Physiology or Medicine,,0
1941,Chemistry,,0
1941,Literature,,0
1941,Peace,,0
1941,Physics,,0
1941,Physiology or Medicine,,0
1942,Chemistry,,0
1942,Literature,,0
1942,Peace,,0
1942,Physics,,0
1942,Physiology or Medicine,,0
1943,Chemistry,['George de Hevesy'],1
1943,Literature,,0
1943,Peace,,0
1943,Physics,['Otto Stern'],1
1943,Physiology or Medicine,"['Henrik Carl Peter Dam', 'Edward Adelbert Doisy']",2
1944,Chemistry,['Otto Hahn'],1
1944,Literature,['Johannes Vilhelm Jensen'],1
1944,Peace,['International Committee of the Red Cross'],1
1944,Physics,['Isidor Isaac Rabi'],1
1944,Physiology or Medicine,"['Joseph Erlanger', 'Herbert Spencer Gasser']",2
1945,Chemistry,['Artturi Ilmari Virtanen'],1
1945,Literature,['Gabriela Mistral'],1
1945,Peace,['Cordell Hull'],1
1945,Physics,['Wolfgang Pauli'],1
1945,Physiology or Medicine,"['Sir Alexander Fleming', 'Ernst Boris Chain', 'Sir Howard Walter Florey']",3
1946,Chemistry,"['James Batcheller Sumner', 'John Howard Northrop', 'Wendell Meredith Stanley']",3
1946,Literature,['Hermann Hesse'],1
1946,Peace,"['Emily Greene Balch', 'John Raleigh Mott']",2
1946,Physics,['Percy Williams Bridgman'],1
1946,Physiology or Medicine,['Hermann Joseph Muller'],1
1947,Chemistry,['Sir Robert Robinson'],1
1947,Literature,['André Paul Guillaume Gide'],1
1947,Peace,"['Friends Service Council', 'American Friends Service Committee']",2
1947,Physics,['Sir Edward Victor Appleton'],1
1947,Physiology or Medicine,"['Carl Ferdinand Cori', 'Gerty Theresa Cori, née Radnitz', 'Bernardo Alberto Houssay']",3
1948,Chemistry,['Arne Wilhelm Kaurin Tiselius'],1
1948,Literature,['Thomas Stearns Eliot'],1
1948,Peace,,0
1948,Physics,['Patrick Maynard Stuart Blackett'],1
1948,Physiology or Medicine,['Paul Hermann Müller'],1
1949,Chemistry,['William Francis Giauque'],1
1949,Literature,['William Faulkner'],1
1949,Peace,"['John Boyd Orr, Baron Boyd-Orr of Brechin Mearn']",1
1949,Physics,['Hideki Yukawa'],1
1949,Physiology or Medicine,"['Walter Rudolf Hess', 'António Caetano de Abreu Freire Egas Moniz']",2
1950,Chemistry,"['Otto Paul Hermann Diels', 'Kurt Alder']",2
1950,Literature,['Earl (Bertrand Arthur William) Russell'],1
1950,Peace,['Ralph Bunche'],1
1950,Physics,['Cecil Frank Powell'],1
1950,Physiology or Medicine,"['Edward Calvin Kendall', 'Tadeus Reichstein', 'Philip Showalter Hench']",3
1951,Chemistry,"['Edwin Mattison McMillan', 'Glenn Theodore Seaborg']",2
1951,Literature,['Pär Fabian Lagerkvist'],1
1951,Peace,['Léon Jouhaux'],1
1951,Physics,"['Sir John Douglas Cockcroft', 'Ernest Thomas Sinton Walton']",2
1951,Physiology or Medicine,['Max Theiler'],1
1952,Chemistry,"['Archer John Porter Martin', 'Richard Laurence Millington Synge']",2
1952,Literature,['François Mauriac'],1
1952,Peace,['Albert Schweitzer'],1
1952,Physics,"['Felix Bloch', 'Edward Mills Purcell']",2
1952,Physiology or Medicine,['Selman Abraham Waksman'],1
1953,Chemistry,['Hermann Staudinger'],1
1953,Literature,['Sir Winston Leonard Spencer Churchill'],1
1953,Peace,['George Catlett Marshall'],1
1953,Physics,['Frits Zernike'],1
1953,Physiology or Medicine,"['Hans Adolf Krebs', 'Fritz Albert Lipmann']",2
1954,Chemistry,['Linus Carl Pauling'],1
1954,Literature,['Ernest Miller Hemingway'],1
1954,Peace,['Office of the United Nations High Commissioner for Refugees'],1
1954,Physics,"['Max Born', 'Walther Bothe']",2
1954,Physiology or Medicine,"['John Franklin Enders', 'Thomas Huckle Weller', 'Frederick Chapman Robbins']",3
1955,Chemistry,['Vincent du Vigneaud'],1
1955,Literature,['Halldór Kiljan Laxness'],1
1955,Peace,,0
1955,Physics,"['Willis Eugene Lamb', 'Polykarp Kusch']",2
1955,Physiology or Medicine,['Axel Hugo Theodor Theorell'],1
1956,Chemistry,"['Sir Cyril Norman Hinshelwood', 'Nikolay Nikolaevich Semenov']",2
1956,Literature,['Juan Ramón Jiménez'],1
1956,Peace,,0
1956,Physics,"['William Bradford Shockley', 'John Bardeen', 'Walter Houser Brattain']",3
1956,Physiology or Medicine,"['André Frédéric Cournand', 'Werner Forssmann', 'Dickinson W. Richards']",3
1957,Chemistry,['Lord (Alexander R.) Todd'],1
1957,Literature,['Albert Camus'],1
1957,Peace,['Lester Bowles Pearson'],1
1957,Physics,"['Chen Ning Yang', 'Tsung-Dao (T.D.) Lee']",2
1957,Physiology or Medicine,['Daniel Bovet'],1
1958,Chemistry,['Frederick Sanger'],1
1958,Literature,['Boris Leonidovich Pasternak'],1
1958,Peace,['Georges Pire'],1
